iter	RMSE
0	1064.151682
1	1017.66764
2	972.7131582
3	932.4505806
4	892.1184162
5	854.326653
6	819.034754
7	782.6615212
8	750.1354846
9	718.5496563
10	687.9373181
11	659.0106825
12	632.1780651
13	605.6315808
14	580.012209
15	555.4157248
16	531.8487518
17	509.3783585
18	488.4009652
19	467.3156309
20	447.8330939
21	428.9291726
22	412.0605799
23	395.4282516
24	379.7725668
25	364.132497
26	350.2653049
27	336.3422662
28	323.0243518
29	310.2762962
30	297.9977801
31	287.8754595
32	276.9112216
33	266.7844732
34	257.0187312
35	247.1582819
36	238.5610931
37	229.8787962
38	221.3507215
39	213.6815325
40	206.4349176
41	199.1727746
42	192.4077081
43	185.891628
44	179.6338646
45	174.6017412
46	169.3032199
47	164.1402483
48	159.1786285
49	154.6776533
50	150.191183
51	146.1500845
52	142.6187771
53	138.9604924
54	135.4120427
55	132.0683437
56	129.1516539
57	126.1457867
58	123.3970384
59	120.9349385
60	118.4778783
61	116.5161901
62	114.3389967
63	112.2834595
64	110.3274961
65	108.4924205
66	106.8415296
67	105.3231374
68	103.7267214
69	102.4152596
70	101.0183125
71	99.59818108
72	98.45889812
73	97.32497206
74	96.33842545
75	95.40231287
76	94.44036271
77	93.50021606
78	92.49872353
79	91.62697559
80	90.82780528
81	90.08717911
82	89.46678538
83	88.6649414
84	88.07358305
85	87.56883765
86	86.92345803
87	86.39714137
88	85.85673043
89	85.39015264
90	84.99075373
91	84.6039065
92	84.15723908
93	83.73058216
94	83.21913738
95	82.84095253
96	82.41716954
97	81.97566745
98	81.59981451
99	81.28595791
100	80.97380998
101	80.68803101
102	80.2815432
103	79.92479942
104	79.6262384
105	79.2670528
106	79.05411666
107	78.81079568
108	78.5489373
109	78.34541622
110	78.03086529
111	77.78926839
112	77.46458852
113	77.30728578
114	77.1181653
115	76.86786249
116	76.6805673
117	76.37248329
118	76.18751609
119	75.92325863
120	75.65928532
121	75.38146999
122	75.12750349
123	74.907264
124	74.69586776
125	74.46175295
126	74.25162298
127	74.07877233
128	73.85926626
129	73.6485961
130	73.44212283
131	73.25906725
132	73.12779714
133	72.98819242
134	72.80527283
135	72.60410984
136	72.46218476
137	72.33420537
138	72.14171401
139	71.936549
140	71.79529349
141	71.61264818
142	71.36217337
143	71.18074107
144	71.01735233
145	70.83492238
146	70.68869778
147	70.4765261
148	70.39450518
149	70.21277887
150	70.00605785
151	69.77997025
152	69.5530569
153	69.37179357
154	69.1826499
155	68.99357082
156	68.8501981
157	68.74764785
158	68.56058524
159	68.39468632
160	68.20277945
161	68.08255861
162	67.79279976
163	67.62799947
164	67.48291859
165	67.25650485
166	67.124853
167	66.93270652
168	66.82441996
169	66.66109439
170	66.39970682
171	66.25979797
172	66.11884024
173	65.8855292
174	65.69231812
175	65.49368379
176	65.35457596
177	65.14426093
178	65.04436153
179	64.88336461
180	64.72922561
181	64.5356142
182	64.3371989
183	64.19775075
184	63.94227232
185	63.74167199
186	63.61234146
187	63.51102866
188	63.37321319
189	63.18629063
190	63.06209374
191	62.97949167
192	62.89631782
193	62.70112736
194	62.49332068
195	62.29164898
196	62.20392514
197	61.97261497
198	61.8531052
199	61.7359324
200	61.46311106
201	61.2945695
202	61.15461428
203	60.98924378
204	60.9229514
205	60.75390597
206	60.57385929
207	60.38108549
208	60.26922032
209	60.13879877
210	60.03143876
211	59.95291602
212	59.9028143
213	59.76731333
214	59.61361162
215	59.44307309
216	59.26559715
217	59.13649149
218	58.98618476
219	58.89658801
220	58.76206393
221	58.63447665
222	58.55929773
223	58.49602038
224	58.31851696
225	58.19857622
226	57.97014916
227	57.89425157
228	57.8114848
229	57.71025253
230	57.5939832
231	57.46072475
232	57.37874335
233	57.22468664
234	57.02843817
235	56.88692994
236	56.72671901
237	56.53375363
238	56.43707668
239	56.28408899
240	56.15782172
241	55.9825213
242	55.86389204
243	55.75335822
244	55.55854116
245	55.41787217
246	55.26964517
247	55.0998587
248	55.00518274
249	54.90861477
250	54.74176228
251	54.5933768
252	54.49072531
253	54.34602611
254	54.19570968
255	54.07759983
256	53.88260875
257	53.76577511
258	53.61533057
259	53.47186312
260	53.35169699
261	53.28809504
262	53.20339621
263	53.02144596
264	52.85413034
265	52.75316874
266	52.61059872
267	52.56793106
268	52.46986846
269	52.35693609
270	52.22969256
271	52.15800862
272	51.9489866
273	51.76646785
274	51.58151678
275	51.48563444
276	51.36302263
277	51.15827374
278	51.02220825
279	50.91191227
280	50.82305296
281	50.74336906
282	50.7077731
283	50.49437125
284	50.32185487
285	50.28060874
286	50.18852866
287	50.06339978
288	49.95567462
289	49.83608573
290	49.70169477
291	49.62465528
292	49.55130794
293	49.51039408
294	49.40123055
295	49.26771184
296	49.16191545
297	49.03837217
298	48.92882988
299	48.87004825
